postcode_area,name,number_text,fee_cat
AB,"GRAHAM & SIBBALD    
  (615,616, 666)","615,616, 666",HIGHER
AL,Symington Elvery (139-141),139-141,HIGHER
AL,Matthews & Goodman (227 – 231),227 – 231,HIGHER
AL,Hamblin Sullivan (270-271),270-271,HIGHER
AL,"Terracotta Property (577,578,581 & 582)","577,578,581 & 582",HIGHER
AL,London Surveyors (670-679),670-679,HIGHER
AL,"Precision Surveyors (758 ,761,764,765,768 & 774)","758 ,761,764,765,768 & 774",STANDARD
B,BB&J Commercial (54-56),54-56,HIGHER
B,"Carters Surveyors 
(165-166)",165-166,STANDARD
B,Brown & Co (189-193),189-193,HIGHER
BA,"Vickery Holman (880,881)","880,881",HIGHER
BB,"Wignalls (132, 133 & 135)","132, 133 & 135",STANDARD
BB,AJP Surveyors (155-157),155-157,STANDARD
BB,"DWA Surveyors (172,173,178, 183,195,197,199,201,205 & 213)","172,173,178, 183,195,197,199,201,205 & 213",HIGHER
BB,Bradley Hall (321-324),321-324,HIGHER
BB,MC & Co Surveyors (480-481),480-481,HIGHER
BB,W T Gunson (504-508),504-508,HIGHER
BD,"Tom Snook (41, 43 & 44)","41, 43 & 44",HIGHER
BD,Bramleys (90-92&127),90-92&127,STANDARD
BD,"Cundalls (109,111-114)","109,111-114",HIGHER
BD,"Bradley Hall (298,342-343)","298,342-343",HIGHER
BN,3J’s (67-69),67-69,HIGHER
BN,"Green Oak Surveyors
 (942 & 946)",942 & 946,HIGHER
BR,"MC & Co Surveyors 
(480-481)",480-481,HIGHER
BR,Quantum (728 & 733),728 & 733,STANDARD
BR,"Green Oak Surveyors 
(942-944)",942-944,HIGHER
BS,Tayler & Fletcher (556-559),556-559,HIGHER
BS,Maggs and Allen (775-776),775-776,HIGHER
BT,Brankins (402-403),402-403,STANDARD
CA,Edwin Thompson (221-226),221-226,HIGHER
CB,KWD (158-161),158-161,STANDARD
CB,Matthews & Goodman (227–231),227–231,HIGHER
CB,Watsons (858 & 871),858 & 871,HIGHER
CB,Brown & Co (930-932),930-932,HIGHER
CF,Linnells (168-170),168-170,STANDARD
CF,Bruton Knowles CARDIFF (693-694),693-694,HIGHER
CF,"Astley Samuel Leeder
                  (896-900)",896-900,HIGHER
CH,Smith & Sons (386 – 387),386 – 387,STANDARD
CH,W T Gunson (504 – 508),504 – 508,HIGHER
CM,Green Oak Surveyors (942-944),942-944,HIGHER
CO,Watsons (871- ON HOLD ),871- ON HOLD,HIGHER
CV,Carters Surveyors (163-166),163-166,STANDARD
CV,"Tayler & Fletcher (556-559, 574)","556-559, 574",HIGHER
CV,Howkins & Harrison (842-843&850),842-843&850,QUOTABLE
CW,Gibson Abbott (62-64),62-64,STANDARD
CW,Lowe & Elliott (239-240),239-240,HIGHER
DD,GRAHAM & SIBBALD (605-610),605-610,HIGHER
DE,Brown & Co (929&933-934),929&933-934,QUOTABLE
DG,Edwin Thompson (220-228),220-228,HIGHER
DH,Bradley Hall (321-324 & 326),321-324 & 326,HIGHER
DN,Paul Fox Surveyors (115-119),115-119,STANDARD
DN,"Jackson Green Preston (134,196)","134,196",STANDARD
DN,Pygott & Crone (149-151),149-151,QUOTABLE
DN,Pygott & Crone (149-150),149-150,QUOTABLE
DN,Pygott & Crone (152-154),152-154,QUOTABLE
DN,Brown & Co (186 & 194),186 & 194,STANDARD
DN,Bradley Hall (342-343),342-343,HIGHER
DN,Brown & Co (929&935-936),929&935-936,QUOTABLE
EC,Capital Value Surveyors (786-789),786-789,HIGHER
EH,GRAHAM & SIBBALD (619-622),619-622,HIGHER
EX,"Abercorn (94, 95, 472)","94, 95, 472",HIGHER
EX,Miller Commercial (206-212),206-212,HIGHER
EX,"Vickery Holman (873,876,879,881,921)","873,876,879,881,921",QUOTABLE
FK,GRAHAM & SIBBALD (652-654),652-654,HIGHER
G,GRAHAM & SIBBALD (627-634),627-634,HIGHER
G,GRAHAM & SIBBALD (646-647),646-647,HIGHER
GL,"Bruton Knowles GLOUCESTER
 (687-688) (700)",687-688,HIGHER
GU,Clarke Gammon Wellers (241-242),241-242,STANDARD
GU,Quantum (277-279),277-279,STANDARD
HG,"Tom Snook (40,41, 43, 45)","40,41, 43, 45",STANDARD
HX,Bramleys (90-92& 127),90-92& 127,STANDARD
IG,Green Oak Surveyors (916 &942-944),916 &942-944,HIGHER
IP,Brown & Co (179 & 180),179 & 180,HIGHER
IP,"Watsons 
(20, 22,25, 28, 858,867 &)","20, 22,25, 28, 858,867 &",HIGHER
IP,Brown & Co (930&931& 938),930&931& 938,STANDARD
IV,GRAHAM & SIBBALD (636-641),636-641,HIGHER
KY,"GRAHAM & SIBBALD (649,650)","649,650",HIGHER
L,Smith & Sons (386-387),386-387,STANDARD
LA,Edwin Thompson (220-226),220-226,STANDARD
LE,Howkins & Harrison (842-843 & 850),842-843 & 850,QUOTABLE
LE,Brown & Co (933-935),933-935,QUOTABLE
LL,Geoffrey Butterworth (737&754&762),737&754&762,QUOTABLE
LN,"Jackson Green & Preston (134,196)","134,196",STANDARD
LN,Pygottt & Crone (149-151),149-151,QUOTABLE
LN,"Brown & Co (929, 933&935)","929, 933&935",QUOTABLE
LS,"Tom Snook (41, 43 & 45)","41, 43 & 45",STANDARD
M,"Roberts & Roberts (45,47 & 48)","45,47 & 48",STANDARD
M,"Bradley Hall (298,342)","298,342",HIGHER
ME,"London Surveyors 
(670-679)",670-679,HIGHER
MK,Underwood Surveyors (707-709),707-709,HIGHER
